"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","wagon","cabriolet","small.car","coupe","diesel","hybrid","natural.gas","electric","manual","awd","price.residuals","pred.price"
"1","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10972877","AUDI A3 1.9 TDI quattro","Fahrzeug läuft einwandfrei / Motor&Getriebe Top / Schiebedach / Klimaanlage / Quattro sehr selten bei diesen Modellen!!!",600,"1998-01-01","Limousine",289000,"Diesel","Automatique",110,"4 roues motrices",6.4,FALSE,"2021-03-25",FALSE,FALSE,"","Unterstrasse, 8734 Ermenswil",10972877,"2023-10-25",NA,"Vielen Dank für Ihr Interesse an einem unserer Fahrzeuge. 
Für eine Besichtigung Vorort bitte ein Termin vereinbaren. 
Trotz unserer Sorgfalt sind Inserationsfehler nicht auszuschliessen keine Gewähr für Ausstattungsdetails, Irrtümer und Zwischenverkauf vorbehalten.",FALSE,9434,6,89000356,8.3521e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-5498.71114984437,6098.71114984437
"2","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2001-occasion-10980211","AUDI A3 1.8 T Ambiente","aus 1 Hand / ab Platz / Export oder zum aufbereiten",650,"2001-08-01","Limousine",290112,"Essence","Boîte manuelle",150,"Traction avant",8,FALSE,"2021-06-25",FALSE,FALSE,"","Bernstrasse 63, 3125 Toffen",10980211,"2023-10-28",NA,"1 Hand  / Serviceheft , Servicegepflegt / Eintausch Fahrzeug / ab Platz / - Bremsen Motor Getriebe i.o /  fährt sich gut / Div. Beulen und Kratzer / wenig bis - kein Rost / Div. kleine Mängel - Kokpitt Def.spukt - diverse Schalter nicht mehr lesbar / dazu Div. Belege und Rechnungen der letzten Jahre ( Zahnriemenkitt usw.  /    Winterbereift / ab Platz zum abholen am besten besichtigen, probefahren und gleich mitnehmen.. wegenPlatzmangel !",FALSE,8126,3,66031876,84164972544,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-757.107850176283,1407.10785017628
"3","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10933697","AUDI A3 1.8 Ambition","",699,"2002-05-01","Limousine",295040,"Essence","Automatique",125,"Traction avant",9,FALSE,"2021-02-11",FALSE,FALSE,"","MEISENWEG 10, 3292 Busswil b  Büren",10933697,"2023-10-11",NA,"",FALSE,7853,20,61669609,87048601600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1438.47548814669,2137.47548814669
"4","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2000-occasion-10267524","AUDI A3 1.8 T Ambiente","",800,"2000-03-01","Limousine",281000,"Essence","Boîte manuelle",150,"Traction avant",9.1,FALSE,"2017-08-03",FALSE,FALSE,"","Ribistrasse 1a, 8362 Balterswil",10267524,"2023-02-17",NA,"Top gepflegte Autos. Super Service.",FALSE,8644,256,74718736,7.8961e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-900.651742576302,1700.6517425763
"5","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10945084","AUDI A3 2.0 FSI Attraction","",900,"2004-05-01","Limousine",255000,"Essence","Boîte manuelle",150,"Traction avant",7.4,FALSE,NA,FALSE,FALSE,"","Bruggmatte 11, 6260 Reiden",10945084,"2023-10-15",NA,"Motor läuft unrühig.
8-fach bereift",FALSE,7122,16,50722884,6.5025e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3.61754771400661,896.382452285993
"6","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10181712","AUDI A3 1.9 TDI-PD Attraction","Auto läuft gut",1300,"2002-01-01","Limousine",251500,"Diesel","Boîte manuelle",130,"Traction avant",5.1,FALSE,"2020-01-13",FALSE,FALSE,"","Bernstrasse 229, 4852 rothrist",10181712,"2023-01-17",NA,"Auto läuft .
 !
 



FÜR BESICHTIGUNGEN BITTE 1-2 STUNDEN BEVOR SIE KOMMEN ANRUFEN

-- SUPER EINTAUSCH OFFERTEN
-- ANKAUF VON ALLE FAHRZEUGEN
-- 50 GÜNSTIGE OCCASIONEN AB  1000.-FR AM LAGER 
-- 
-- FÜR FAHRZEUGEN UNTER 10 JAHREN QUALITY ONE GARANTIE MÖGLICH
-- Dank unserer zentraler Lage, 2 kilometer von autobahn ausfahrt OLTEN, ROTHRIST. wir sind von überall her gut und schnell erreichbar. 
Von Basel, Zürich, Luzern, Bern in 30 minuten erreichbar.

Irrtümer und Zwischenverkauf vorbehalten, keine Haftung für Druck und Schreibfehler. Alle Angaben ohne Gewähr",FALSE,7973,287,63568729,63252250000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-16.9867584781221,1316.98675847812
"7","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10983550","AUDI A3 2.0 FSI Ambiente","",1300,"2003-11-01","Limousine",209000,"Essence","Automatique",150,"Traction avant",7.4,FALSE,"2018-10-22",FALSE,FALSE,"","Bodackerstrasse 14, 8953 Dietikon",10983550,"2023-10-30",NA,"Ab Platz ohne Garantie und Gewährleistung letzten MFK: 22/10/2018",FALSE,7304,1,53348416,4.3681e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1315.76311091141,2615.76311091141
"8","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10043266","AUDI A3 1.8 T Attraction","",1400,"1998-09-01","Limousine",377165,"Essence","Boîte manuelle",150,"Traction avant",7.9,FALSE,"2014-06-10",FALSE,FALSE,"","Luzernerstrasse 172, 5054 Moosleerau",10043266,"2022-11-21",NA,"Leistungssteigerung durch Pop-Off Ventil, Frontscheibe hat Riss, ab Platz Verkauf",FALSE,9191,344,84474481,142253437225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-4262.72443099363,5662.72443099363
"9","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10935136","AUDI A3 2.0 Turbo FSI Ambition quattro","",1400,"2005-05-01","Limousine",2e+05,"Essence","Boîte manuelle",200,"4 roues motrices",9,FALSE,NA,FALSE,FALSE,"","Gwattstrasse 142, 3645 Gwatt bei Thun",10935136,"2023-10-11",NA,"",FALSE,6757,20,45657049,4e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-3375.85834697309,4775.85834697309
"10","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10380768","AUDI A3 2.0 FSI Ambiente","",1500,"2006-07-01","Limousine",203000,"Essence","Boîte manuelle",150,"Traction avant",7.6,FALSE,"2019-03-28",FALSE,FALSE,"","Via al Mulino 21, 6814 Cadempino",10380768,"2023-03-25",NA,"Ab platz",FALSE,6331,220,40081561,4.1209e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-332.334878207069,1832.33487820707
