"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","cabriolet","suv","sedan","diesel","hybrid","natural.gas","manual","awd"
"1","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2011-occasion-10873040","SKODA Octavia Combi 1.6 TDI Adventure 4x4","Für Teile, nicht fahrbar",300,"2011-07-01","Break",210000,"Diesel","Boîte manuelle",105,"4 roues motrices",5.4,FALSE,"2020-10-22",FALSE,FALSE,"","Gassenmatte, 3763 Därstetten",10873040,"2023-09-20",NA,"Freundlich, verständnisvoll und flexibel. Gab Klarheit (in gutem Englisch) und ...",FALSE,4496,32,20214016,4.41e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"2","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10918488","SKODA Octavia 1.8 Turbo Elegance","Ab Platz, lauft gut, 8 fach Alu Bereift",800,"2001-04-01","Break",236000,"Essence","Boîte manuelle",150,"Traction avant",8,FALSE,"2019-12-24",FALSE,FALSE,"","Güterstrasse 2 (Bei Schreinerei Brügger), 5014 Gretzenbach",10918488,"2023-10-05",NA,"Danke für Ihr Interesse an unseren Fahrzeugen.
Für einen Besichtigungstermin und Probefahrt bitte per Telefon im Voraus vereinbaren.",FALSE,8239,17,67881121,5.5696e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10937538","SKODA Octavia 1.9 TDI Ambiente 4x4","Fixpreis",900,"2003-10-01","Break",217000,"Diesel","Boîte manuelle",101,"4 roues motrices",6.3,FALSE,"2019-09-16",FALSE,FALSE,"","Untere Bahnhofstrasse 31, 8340 Hinwil ZH",10937538,"2023-10-12",NA,"Sehr profesionelle Garage. Reparatur bei meinem Auto war sehr schnell und der ...",FALSE,7326,10,53670276,4.7089e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"4","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10771534","SKODA OCTAVIA Combi 4x4 Turbo","",950,"2001-10-01","Break",245400,"Essence","Boîte manuelle",150,"4 roues motrices",NA,FALSE,NA,FALSE,FALSE,"","Le crêt de la châtagne 1, 2406 La châtagne",10771534,"2023-08-15",NA,"disques de frein neuf
roule très bien",FALSE,8056,68,64899136,60221160000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"5","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2002-occasion-10339125","SKODA Octavia 1.8 Turbo Elegance","",990,"2002-05-01","Break",227000,"Essence","Boîte manuelle",150,"Traction avant",8,FALSE,NA,FALSE,FALSE,"","Chli Ebnet 1, 6403 Küssnacht am Rigi",10339125,"2023-03-13",NA,"",FALSE,7844,223,61528336,5.1529e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2000-occasion-10895226","SKODA Octavia 2.0 Elegance 4x4","",999,"2000-09-01","Break",255800,"Essence","Boîte manuelle",115,"4 roues motrices",8.9,FALSE,"2020-11-20",FALSE,FALSE,"","Pfäffikerstrasse 28, 8331 Auslikon",10895226,"2023-09-27",NA,"Trotz km gar nicht mal so übel;-)",FALSE,8451,25,71419401,65433640000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"7","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2004-occasion-10876012","SKODA Octavia 1.8 Turbo Elegance 4x4","Ab Platz Ohne Garantie Export",1100,"2004-01-01","Break",3e+05,"Essence","Boîte manuelle",150,"4 roues motrices",8.8,FALSE,"2020-09-04",FALSE,FALSE,"","Zürcherstrasse 15, 8620 Wetzikon ZH",10876012,"2023-09-21",NA,"",FALSE,7234,31,52330756,9e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"8","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10737101","SKODA Octavia 1.6 Ambiente","",1300,"2003-08-01","Break",306000,"Essence","Boîte manuelle",102,"Traction avant",7.2,FALSE,"2020-01-15",FALSE,FALSE,"","Nordstrasse 1, 7310 Bad Ragaz",10737101,"2023-07-31",NA,"Viele Autos. Freundlich und Hilfsbereit Danke",FALSE,7387,83,54567769,9.3636e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10912216","SKODA Octavia 2.0 FSI Swiss Adventure 4x4","In einem guten Zustand Motor Getriebe sehr gut Klimaanlage",1300,"2006-08-01","Break",255000,"Essence","Boîte manuelle",150,"4 roues motrices",8.9,FALSE,"2020-10-03",FALSE,FALSE,"","Schachenhof 4, 6014 Luzern",10912216,"2023-10-03",NA,"Motor getriebe sehr gut Klimaanlage",FALSE,6291,19,39576681,6.5025e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"10","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-9875418","SKODA Octavia 2.0 FSI Swiss Adventure 4x4","",1400,"2006-06-01","Break",209976,"Essence","Boîte manuelle",150,"4 roues motrices",8.9,FALSE,"2019-03-29",FALSE,FALSE,"","Bielstrasse 49, 3900 Gamsen",9875418,"2022-11-14",NA,"Mechanisch io
Fix preis",FALSE,6352,342,40347904,44089920576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
