web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date,prix-neuf
"1697468816-1","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10818642","TOYOTA Yaris 1.3 Linea Luna","","CHF 400.–","06.2001","Petite voiture","236'610 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","12.10.2020","Non","Non","","Moosstrasse 46, 3126 Kaufdorf BE","Listing ID: 10818642","Wagen hat keine schlüssel. Emissionscode B03. Ab Platz. Fixpreis. Emails werden nicht beantwortet. Für weitere Fragen bitte telefonieren 031 809 06 16","2023-09-01","Non"
"1697468829-2","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10903595","TOYOTA Yaris 1.3 Linea Luna","Hat keine Klimaanlage Auto fahrt Motor und Getriebe ist ok Unfall vorne","CHF 600.–","06.2000","Petite voiture","309'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Oui","14.07.2022","Non","Non","","Jungfraustrasse 19, 2543 Lengnau BE","Listing ID: 10903595","","2023-09-30","Non"
"1697468842-3","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10663734","TOYOTA Yaris 1.0","","CHF 699.–","12.2001","Petite voiture","220'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Non","24.09.2020","Non","Non","","Goldacherstrasse 8, 9327 Tübach","Listing ID: 10663734","","2023-07-02","Non"
"1697468855-4","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10906325","TOYOTA Yaris 1.3 Linea Luna","Ab platz Export","CHF 790.–","03.2001","Petite voiture","244'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","5.6 l/100 km","Non","","Non","Non","","Bernstrasse 13A, 3114 Wichtrach","Listing ID: 10906325","","2023-10-02","Non"
"1697468868-5","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10888229","TOYOTA Yaris 1.3 Linea Luna","","CHF 900.–","11.2000","Petite voiture","200'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","Löwenberg 55, 3280 Murten","Listing ID: 10888229","Sehr gut Zustand  Klima ja","2023-09-25","Non"
"1697468881-6","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10882391","TOYOTA Yaris 1.0","","CHF 1'000.–","01.2003","Petite voiture","141'000 km","Essence","Boîte manuelle","68 PS (50 kW)","Traction avant","5.7 l/100 km","Non","","Non","Non","","Chemin du Cudrex 13, 1030 Bussigny-Lausanne","Listing ID: 10882391","","2023-09-23","Non"
"1697468894-7","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10939732","TOYOTA Yaris 1.3 Linea Luna","","CHF 1'300.–","07.2001","Petite voiture","245'000 km","Essence","Boîte manuelle","86 PS (63 kW)","Traction avant","6 l/100 km","Non","","Non","Non","","8951 Fahrweid","Listing ID: 10939732","","2023-10-13","Non"
"1697468907-8","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10890086","TOYOTA Yaris 1.5 TS","","CHF 1'500.–","08.2001","Petite voiture","283'340 km","Essence","Boîte manuelle","106 PS (78 kW)","Traction avant","6.9 l/100 km","Non","20.01.2021","Non","Non","","3302 Moosseedorf","Listing ID: 10890086","","2023-09-26","Non"
"1697468922-9","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10839860","TOYOTA Yaris 1.0 Linea Luna","","CHF 1'550.–","07.2004","Petite voiture","195'000 km","Essence","Boîte manuelle","65 PS (48 kW)","Traction avant","5.6 l/100 km","Oui","19.05.2022","Non","Non","","Le Cerneux-Veusil 143 b, 2345 Le Cerneux-Veusil","Listing ID: 10839860","Voiture en bon état, quelques petites rayures et petites tâches de rouilles. Intérieur propre et les services suivis. Elle a été expertisée en 05 2022. Elle est monté avec des pneus d’été et hiver mais à prévoir remplacer. Elle fonctionne bien et à pas de problème.","2023-09-08","Non"
"1697468935-10","https://www.autoscout24.ch/fr/voitures/toyota--yaris?cond=49&make=78&model=554&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10817944","TOYOTA Yaris 1.4 D-4D Linea Luna","","CHF 1'600.–","09.2005","Petite voiture","263'279 km","Diesel","Boîte manuelle","75 PS (55 kW)","Traction avant","4.4 l/100 km","Non","19.02.2021","Non","Non","","Allmendenggenstrasse 31b, 3638 Blumenstein","Listing ID: 10817944","Auto fahrbar","2023-09-01","Non"
