"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","description.text","created.date","new.price","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","sedan","coupe","diesel","hybrid","manual","awd","price.residuals","pred.price"
"1","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10818642","TOYOTA Yaris 1.3 Linea Luna","",400,"2001-06-01","Petite voiture",236610,"Essence","Boîte manuelle",86,"Traction avant",6,FALSE,"2020-10-12",FALSE,FALSE,"","Moosstrasse 46, 3126 Kaufdorf BE",10818642,"Wagen hat keine schlüssel. Emissionscode B03. Ab Platz. Fixpreis. Emails werden nicht beantwortet. Für weitere Fragen bitte telefonieren 031 809 06 16","2023-09-01",NA,FALSE,8172,45,66781584,55984292100,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1352.45418688369,1752.45418688369
"2","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10903595","TOYOTA Yaris 1.3 Linea Luna","Hat keine Klimaanlage Auto fahrt Motor und Getriebe ist ok Unfall vorne",600,"2000-06-01","Petite voiture",309000,"Essence","Boîte manuelle",86,"Traction avant",6,TRUE,"2022-07-14",FALSE,FALSE,"","Jungfraustrasse 19, 2543 Lengnau BE",10903595,"","2023-09-30",NA,FALSE,8537,16,72880369,9.5481e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1658.61146866758,2258.61146866758
"3","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10663734","TOYOTA Yaris 1.0","",699,"2001-12-01","Petite voiture",220000,"Essence","Boîte manuelle",68,"Traction avant",5.7,FALSE,"2020-09-24",FALSE,FALSE,"","Goldacherstrasse 8, 9327 Tübach",10663734,"","2023-07-02",NA,FALSE,7989,106,63824121,4.84e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-82.1221448873085,781.122144887308
"4","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10906325","TOYOTA Yaris 1.3 Linea Luna","Ab platz Export",790,"2001-03-01","Petite voiture",244000,"Essence","Boîte manuelle",86,"Traction avant",5.6,FALSE,NA,FALSE,FALSE,"","Bernstrasse 13A, 3114 Wichtrach",10906325,"","2023-10-02",NA,FALSE,8264,14,68293696,5.9536e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-974.544415169827,1764.54441516983
"5","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2000-occasion-10888229","TOYOTA Yaris 1.3 Linea Luna","",900,"2000-11-01","Petite voiture",2e+05,"Essence","Boîte manuelle",86,"Traction avant",6,FALSE,NA,FALSE,FALSE,"","Löwenberg 55, 3280 Murten",10888229,"Sehr gut Zustand  Klima ja","2023-09-25",NA,FALSE,8384,21,70291456,4e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1288.13297982899,2188.13297982899
"6","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10882391","TOYOTA Yaris 1.0","",1000,"2003-01-01","Petite voiture",141000,"Essence","Boîte manuelle",68,"Traction avant",5.7,FALSE,NA,FALSE,FALSE,"","Chemin du Cudrex 13, 1030 Bussigny-Lausanne",10882391,"","2023-09-23",NA,FALSE,7593,23,57653649,1.9881e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1178.05326559877,2178.05326559877
"7","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10939732","TOYOTA Yaris 1.3 Linea Luna","",1300,"2001-07-01","Petite voiture",245000,"Essence","Boîte manuelle",86,"Traction avant",6,FALSE,NA,FALSE,FALSE,"","8951 Fahrweid",10939732,"","2023-10-13",NA,FALSE,8142,3,66292164,6.0025e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-410.500234169492,1710.50023416949
"8","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2001-occasion-10890086","TOYOTA Yaris 1.5 TS","",1500,"2001-08-01","Petite voiture",283340,"Essence","Boîte manuelle",106,"Traction avant",6.9,FALSE,"2021-01-20",FALSE,FALSE,"","3302 Moosseedorf",10890086,"","2023-09-26",NA,FALSE,8111,20,65788321,80281555600,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1417.35020863253,2917.35020863253
"9","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2004-occasion-10839860","TOYOTA Yaris 1.0 Linea Luna","",1550,"2004-07-01","Petite voiture",195000,"Essence","Boîte manuelle",65,"Traction avant",5.6,TRUE,"2022-05-19",FALSE,FALSE,"","Le Cerneux-Veusil 143 b, 2345 Le Cerneux-Veusil",10839860,"Voiture en bon état, quelques petites rayures et petites tâches de rouilles. Intérieur propre et les services suivis. Elle a été expertisée en 05 2022. Elle est monté avec des pneus d’été et hiver mais à prévoir remplacer. Elle fonctionne bien et à pas de problème.","2023-09-08",NA,FALSE,7046,38,49646116,3.8025e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,717.570425307281,832.429574692719
"10","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10817944","TOYOTA Yaris 1.4 D-4D Linea Luna","",1600,"2005-09-01","Petite voiture",263279,"Diesel","Boîte manuelle",75,"Traction avant",4.4,FALSE,"2021-02-19",FALSE,FALSE,"","Allmendenggenstrasse 31b, 3638 Blumenstein",10817944,"Auto fahrbar","2023-09-01",NA,FALSE,6619,45,43811161,69315831841,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,538.688972925101,1061.3110270749
"11","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2005-occasion-10932056","TOYOTA Yaris 1.3 Linea Luna","",1600,"2005-12-01","Petite voiture",218634,"Essence","Boîte manuelle",87,"Traction avant",5.8,FALSE,"2020-11-25",FALSE,FALSE,"","Route du P.A.A. 21, 1772 Grolley",10932056,"","2023-10-10",NA,FALSE,6528,6,42614784,47800825956,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-332.024321723431,1932.02432172343
