"annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age"
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10813406","VOLVO XC60 D5 AWD","",5500,2009-02-01,"SUV / Tout-terrain",305907,"Diesel","Boîte manuelle",185,"4 roues motrices",7.5,FALSE,2022-03-18,FALSE,FALSE,"","Birchweg 26 - Gewerbestrasse 14, 8200 Schaffhausen - Siblingen",10813406,2023-08-30,NA,"",FALSE,5386,63
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10983686","VOLVO XC60 D5 AWD Kinetic","",6400,2009-07-01,"SUV / Tout-terrain",247000,"Diesel","Boîte manuelle",205,"4 roues motrices",6.9,FALSE,2021-02-01,FALSE,FALSE,"","Riedmattstrasse 5, 8153 Rümlang Kantons Zürich",10983686,2023-10-30,NA,"",FALSE,5236,2
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10911174","VOLVO XC60 D5 AWD Geartronic","Roule très bien ,clim,services suivis,B04",6500,2009-09-01,"SUV / Tout-terrain",250000,"Diesel","Automatique",205,"4 roues motrices",7.5,FALSE,2019-10-15,FALSE,FALSE,"","Chemin de Cudrex 15, 1030 Bussigny-près-Lausanne",10911174,2023-10-03,NA,"Fahrt zehr gut 
klim",FALSE,5174,29
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10575560","VOLVO XC60 D5 AWD Geartronic","Roule bien, caméra de recul, expertisée 11/2022, B04.",6900,2009-09-01,"SUV / Tout-terrain",363000,"Diesel","Automatique",205,"4 roues motrices",7.5,TRUE,2022-11-10,FALSE,FALSE,"","Rue de Plaisance 10, 1227 Carouge",10575560,2023-06-02,NA,"Roule bien, 2 clés, expertisée 10/11/2022, qlqs marques de rayures, caméra de recul, cuir, sièges chauffantes et d’autres options, B04.",FALSE,5174,152
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2008-occasion-10906635","VOLVO XC60 D5 AWD Summum Geartronic","",6900,2008-11-01,"SUV / Tout-terrain",286000,"Diesel","Automatique",185,"4 roues motrices",8.3,TRUE,2023-02-07,FALSE,FALSE,"","Seestrasse 181, 8266 Steckborn",10906635,2023-10-02,NA,"",FALSE,5478,30
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10946153","VOLVO XC60 2.4D","",6900,2009-03-01,"SUV / Tout-terrain",260267,"Diesel","Boîte manuelle",175,"Traction avant",6,FALSE,2021-03-09,FALSE,FALSE,"","La Veyre d'en Haut D8, 1806 Saint-Légier",10946153,2023-10-16,NA,"",FALSE,5358,16
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10986545","VOLVO XC60 2.4D Geartronic","1. Hand Firmenfahrzeug alle Service bei Volvo! Topzustand",7499,2010-04-01,"SUV / Tout-terrain",209000,"Diesel","Automatique",175,"Traction avant",7.1,TRUE,2023-04-19,FALSE,FALSE,"","Egnacherweg 11, 8590 Romanshorn",10986545,2023-10-31,NA,"4 neue Winterreifen inkl. Felgen 

4 Top Sommerreifen inkl. Felgen

Probefahrt: Hr. Ensslin 079 565 96 84",FALSE,4962,1
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10869537","VOLVO XC60 D5 AWD Geartronic","",7800,2009-03-01,"SUV / Tout-terrain",297000,"Diesel","Automatique",185,"4 roues motrices",8.3,FALSE,2022-01-24,FALSE,FALSE,"","kirchfeldstrasse 42, 6032 Emmen  LU",10869537,2023-09-19,NA,"",FALSE,5358,43
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2011-occasion-10968844","VOLVO XC60 2.0T Summum Powershift","Véhicule roule bien …",7900,2011-01-01,"SUV / Tout-terrain",241000,"Essence","Boîte manuelle automatisée",203,"Traction avant",8.5,FALSE,2021-03-04,FALSE,FALSE,"","Route du Léman 33, 1907 Saxon",10968844,2023-10-24,NA,"",FALSE,4687,8
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2011-occasion-10916549","VOLVO XC60 D3 AWD Kinetic Geartronic","""ACTION AUTOMNE"" + FAP Neuf",7900,2011-02-01,"SUV / Tout-terrain",243000,"Diesel","Automatique",163,"4 roues motrices",7,FALSE,NA,FALSE,FALSE,"","Chemin de l'Usine 5B, 1040 Echallens",10916549,2023-10-05,64550,"Forfait de livraison en sus ( 400.- )",FALSE,4656,27
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10963360","VOLVO XC60 D5 AWD Summum Geartronic","",8000,2010-10-01,"SUV / Tout-terrain",251000,"Diesel","Automatique",205,"4 roues motrices",7,FALSE,NA,FALSE,FALSE,"","8805 Richterswil",10963360,2023-10-22,78500,"Rostspuren am Radkasten aussen und über der Frontscheibe.
Lastenträger.",FALSE,4779,10
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10789067","VOLVO XC60 2.4D AWD","",8500,2009-01-01,"SUV / Tout-terrain",214513,"Diesel","Boîte manuelle",163,"4 roues motrices",7.5,TRUE,NA,FALSE,FALSE,"","Zürichstrasse 105, 8606 Nänikon",10789067,2023-08-22,NA,"Mit frisch mfk",FALSE,5417,71
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10933134","VOLVO XC60 2.4D AWD Summum Geartronic","",8900,2010-04-01,"SUV / Tout-terrain",211000,"Diesel","Automatique",163,"4 roues motrices",7.5,FALSE,NA,FALSE,FALSE,"","Bahnhofstrasse 18 5242 Lupfig, 5242 Lupfig",10933134,2023-10-11,NA,"CH-Fahrzeug
1hand
Unfallfrei
Nichtraucher
Sehr gefleckt",FALSE,4962,21
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10895561","VOLVO XC60 2.4D AWD Kinetic Geartronic","Gepflegtes Fahrzeug | Frisch ab MFK | Automat | 8-fach bereift",8990,2009-08-01,"SUV / Tout-terrain",217700,"Diesel","Automatique",163,"4 roues motrices",7.5,TRUE,2023-09-27,FALSE,FALSE,"","Zofingerstrasse 16, 4665 Oftringen",10895561,2023-09-28,NA,"Vielen Dank für Ihr Interesse an unserem Fahrzeug. Wir freuen uns über Ihren Besuch. Gerne beantworten wir Fragen telefonisch oder bei der Besichtigung. Für eine Besichtigung und oder eine Probefahrt sind wir froh, wenn Sie sich telefonisch voranmelden.

- Gepflegtes Fahrzeug
- Automat
- Tempomat 
- Letzter Service bei 212500 km 
- Zahnriemen ersetzt bei 177300 km 

Eintausch bei uns möglich. Finanzierung möglich.
Heimlieferung möglich.",FALSE,5205,34
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10837949","VOLVO XC60 D5 AWD Summum Geartronic","14.04.2022 expertiser…",9000,2010-09-01,"SUV / Tout-terrain",188000,"Diesel","Automatique",205,"4 roues motrices",7.5,FALSE,NA,FALSE,FALSE,"","Ch de cudrex 9, 1030 Bussigny",10837949,2023-09-07,NA,"Expertise 14.04.2022……",FALSE,4809,55
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10033092","VOLVO XC60 2.4D Momentum","Parksensoren, Elektrische Heckklappe, Tempomat uvm!!",9000,2010-02-01,"SUV / Tout-terrain",231000,"Diesel","Boîte manuelle",175,"Traction avant",6,TRUE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 3 mois ou 3'000 km","Heimiswilstrasse, 3400 Burgdorf",10033092,2022-11-17,NA,"Ablieferungspauschale CHF 550.-.",FALSE,5021,349
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10456350","VOLVO XC60 D5 AWD Kinetic Geartronic","Frisch ab M.F.K.",9150,2009-04-01,"SUV / Tout-terrain",230415,"Diesel","Automatique",185,"4 roues motrices",8.3,TRUE,2023-04-18,FALSE,FALSE,"","Buchenhagstrasse 2/4, 8156 Oberhasli",10456350,2023-04-21,NA,"Frisch ab Service.
Zahnriemen bei 165430Km ers.wurde.",FALSE,5327,194
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2012-occasion-10894007","VOLVO XC60 D5 AWD Momentum Geartronic","Roule très bien, services suivis, expertisée Mars 2022, 2 clés, B05.",9300,2012-10-01,"SUV / Tout-terrain",221000,"Diesel","Automatique",215,"4 roues motrices",6.8,TRUE,2022-03-14,FALSE,FALSE,"","Rue de Plaisance 10, 1227 Carouge",10894007,2023-09-27,NA,"Roule très bien, services suivis, courroie de distribution faite à 180000km en 2019, 2 jeux de pneus sur jantes, 2 clés, gps, cuir, radar de recul, B05, divers touches. 
Voiture se trouve au 
Route du Nant-d’Avril 58
1214 Vernier",FALSE,4048,35
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10953015","VOLVO XC60 D5 AWD Summum Geartronic","Top Zustand / Ab MFK / Frisch Ab grossem Service /",9500,2010-11-01,"SUV / Tout-terrain",225000,"Diesel","Automatique",205,"4 roues motrices",7,TRUE,NA,FALSE,FALSE,"","Seestrasse 39, 8800 Thalwil",10953015,2023-10-18,NA,"VOLVO XC60 D5 AWD Summum
Top Zustand 
Automat
225000KM
Jahrgang 2010
Diesel
205PS
Ab MFK 
Service gepflegt (Zahnriemen und Wasserpumpe wurde ersetzt)
Getriebespülung
Parksensoren 
Sitzheizung 
2 Schlüssel 
Kann gerne besichtigt und probegefahren werden 
Telefonnummer 079 367 3999",FALSE,4748,14
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10883916","VOLVO XC60 2.4D AWD Geartronic","Service Gepflegt / Klimaanlage / Tempomat / Leder / Gepflegtes Fahrzeuge",9500,2011-01-01,"SUV / Tout-terrain",215800,"Diesel","Automatique",163,"4 roues motrices",7.5,FALSE,2020-12-23,FALSE,FALSE,"","Fabrikstrasse 6, 8340 Hinwil",10883916,2023-09-23,NA,"Service Gepflegt / Klimaanlage / Tempomat / Leder / Gepflegtes Fahrzeuge / EINTAUSCH MÖGLICH



Besten Dank für Ihr Interesse an einem unserer Fahrzeuge. Gerne stehen wir Ihnen für eine unverbindliche Beratung oder eine 
Probefahrt zur Verfügung.

****Wichtig****

Bei Interesse für eine Probefahrt bitte Termin vereinbaren.

Besten Dank…",FALSE,4687,39
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2011-occasion-10926021","VOLVO XC60 D5 AWD OceanRace Geartronic","",9700,2011-12-01,"SUV / Tout-terrain",235000,"Diesel","Automatique",215,"4 roues motrices",6.8,FALSE,NA,FALSE,FALSE,"","Hauptstrasse, 9553 Bettwiesen",10926021,2023-10-09,NA,"Herr Nabil war sehr höflich und entgegenkommend. Fahrzeug frisch ab Service und ...",FALSE,4353,23
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10988490","VOLVO XC60 D5 AWD Summum Geartronic","Im Auftrag zum verkaufen Fahrzeuge ist frisch ab Mfk Kontrolle Expertise Fahrzeuge in guten Zustand Innenraum sauber",9800,2010-03-01,"SUV / Tout-terrain",251700,"Diesel","Automatique",205,"4 roues motrices",7.5,TRUE,2023-09-28,FALSE,FALSE,"","Himmelrainweg 2, 4455 Zunzgen",10988490,2023-10-31,NA,"Im Auftrag zum verkaufen Fahrzeuge ist frisch ab Mfk Kontrolle Expertise Innenraum sauber Service gepflegt voller Ausstattung 
Leder Ausstattung und viel extra",FALSE,4993,1
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10197182","VOLVO XC60 D5 AWD Kinetic Geartronic","Frisch ab Service und MFK",9900,2010-06-01,"SUV / Tout-terrain",188500,"Diesel","Automatique",205,"4 roues motrices",7.5,FALSE,2023-01-26,FALSE,FALSE,"","Fehlwiesstrasse 1, 8580 Amriswil",10197182,2023-01-24,NA,"Sehr freundliches und zuvorkommendes Team. Bin happy mit meinem neuen Flitzer ...",FALSE,4901,281
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10556098","VOLVO XC60 D5 AWD Summum Geartronic","",9900,2010-03-01,"SUV / Tout-terrain",194000,"Diesel","Automatique",205,"4 roues motrices",7.5,FALSE,2021-07-26,FALSE,FALSE,"","Hauptstrasse, 9553 Bettwiesen",10556098,2023-05-25,NA,"Herr Nabil war sehr höflich und entgegenkommend. Fahrzeug frisch ab Service und ...",FALSE,4993,160
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10879205","VOLVO XC60 D5 AWD","",9900,2009-11-01,"SUV / Tout-terrain",211237,"Diesel","Automatique",205,"4 roues motrices",7.5,TRUE,2023-01-19,FALSE,FALSE,"","Wahligenstrasse, 6023 Rothenburg",10879205,2023-09-22,NA,"",FALSE,5113,40
