web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date
"1697037903-1","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1999-occasion-10327888","AUDI A3 1.8 T Attraction","Lauft und fahrt gut. ABS lampe leuchtet. TERMINE NACH TELEFONISCHER VEREINBARUNG!","CHF 699.–","08.1999","Limousine","235'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","9.1 l/100 km","Non","18.12.2020","Non","Non","","Rischring 2, 6030 Ebikon","Listing ID: 10327888","","2023-03-08"
"1697037910-2","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2000-occasion-10267524","AUDI A3 1.8 T Ambiente","","CHF 800.–","03.2000","Limousine","281'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","9.1 l/100 km","Non","03.08.2017","Non","Non","","Ribistrasse 1a, 8362 Balterswil","Listing ID: 10267524","Kann mich meinem Vorredner nur Anschliessen. Einmal Geia = NIE MEHR GEIA !! Die ...","2023-02-17"
"1697037917-3","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1997-occasion-10655943","AUDI A3 Automatische Getriebe 1.8L Benzin","","CHF 1'199.–","11.1997","Limousine","147'614 km","Essence","Automatique","-","-","-","Non","20.11.2020","Non","Non","","Bodackerstrasse 14, 8953 Dietikon","Listing ID: 10655943","I'm Auftrag","2023-06-29"
"1697037924-4","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10639204","AUDI A3 2.0 TDI Ambiente","","CHF 1'200.–","04.2005","Limousine","250'000 km","Diesel","Boîte manuelle","140 PS (103 kW)","Traction avant","5.7 l/100 km","Non","","Non","Non","","Route de Morges 1, 1122 Romanel-sur-Morges","Listing ID: 10639204","Mon choix s'est porté sur une SEAT LEON pour succéder à mon Tiguan repris avec ...","2023-06-23"
"1697037931-5","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10933697","AUDI A3 1.8 Ambition","","CHF 1'299.–","05.2002","Limousine","295'040 km","Essence","Automatique","125 PS (92 kW)","Traction avant","9 l/100 km","Non","11.02.2021","Non","Non","","MEISENWEG 10, 3292 Busswil b  Büren","Listing ID: 10933697","","2023-10-11"
"1697037950-6","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10181712","AUDI A3 1.9 TDI-PD Attraction","Auto läuft gut","CHF 1'300.–","01.2002","Limousine","251'500 km","Diesel","Boîte manuelle","130 PS (96 kW)","Traction avant","5.1 l/100 km","Non","13.01.2020","Non","Non","","Bernstrasse 229, 4852 rothrist","Listing ID: 10181712","Auto läuft .
 !
 



FÜR BESICHTIGUNGEN BITTE 1-2 STUNDEN BEVOR SIE KOMMEN ANRUFEN

-- SUPER EINTAUSCH OFFERTEN
-- ANKAUF VON ALLE FAHRZEUGEN
-- 50 GÜNSTIGE OCCASIONEN AB  1000.-FR AM LAGER 
-- 
-- FÜR FAHRZEUGEN UNTER 10 JAHREN QUALITY ONE GARANTIE MÖGLICH
-- Dank unserer zentraler Lage, 2 kilometer von autobahn ausfahrt OLTEN, ROTHRIST. wir sind von überall her gut und schnell erreichbar. 
Von Basel, Zürich, Luzern, Bern in 30 minuten erreichbar.

Irrtümer und Zwischenverkauf vorbehalten, keine Haftung für Druck und Schreibfehler. Alle Angaben ohne Gewähr","2023-01-17"
"1697037957-7","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10805858","AUDI A3 2.0 FSI Ambiente","","CHF 1'300.–","11.2003","Limousine","209'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","7.4 l/100 km","Non","22.10.2018","Non","Non","","Bodackerstrasse 14, 8953 Dietikon","Listing ID: 10805858","Ab Platz ohne Garantie und Gewährleistung letzten MFK: 22/10/2018","2023-08-28"
"1697037964-8","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10043266","AUDI A3 1.8 T Attraction","","CHF 1'400.–","09.1998","Limousine","377'165 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.9 l/100 km","Non","10.06.2014","Non","Non","","Luzernerstrasse 172, 5054 Moosleerau","Listing ID: 10043266","Leistungssteigerung durch Pop-Off Ventil, Frontscheibe hat Riss, ab Platz Verkauf","2022-11-21"
"1697037971-9","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10380768","AUDI A3 2.0 FSI Ambiente","","CHF 1'500.–","07.2006","Limousine","203'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.6 l/100 km","Non","28.03.2019","Non","Non","","Via al Mulino 21, 6814 Cadempino","Listing ID: 10380768","Ab platz","2023-03-25"
"1697037978-10","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10603314","AUDI A3 Sportback 2.0 Turbo FSI Ambition quattro","","CHF 1'500.–","10.2004","Limousine","248'905 km","Essence","Boîte manuelle","200 PS (147 kW)","4 roues motrices","9 l/100 km","Non","","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 10603314","","2023-06-12"
