web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
"1698787205-1","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10972877","AUDI A3 1.9 TDI quattro","Fahrzeug läuft einwandfrei / Motor&Getriebe Top / Schiebedach / Klimaanlage / Quattro sehr selten bei diesen Modellen!!!","CHF 600.–","01.1998","Limousine","289'000 km","Diesel","Automatique","110 PS (81 kW)","4 roues motrices","6.4 l/100 km","Non","25.03.2021","Non","Non","","Unterstrasse, 8734 Ermenswil","Listing ID: 10972877","2023-10-25","Non","Vielen Dank für Ihr Interesse an einem unserer Fahrzeuge. 
Für eine Besichtigung Vorort bitte ein Termin vereinbaren. 
Trotz unserer Sorgfalt sind Inserationsfehler nicht auszuschliessen keine Gewähr für Ausstattungsdetails, Irrtümer und Zwischenverkauf vorbehalten."
"1698787220-2","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2001-occasion-10980211","AUDI A3 1.8 T Ambiente","aus 1 Hand / ab Platz / Export oder zum aufbereiten","CHF 650.–","08.2001","Limousine","290'112 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","8 l/100 km","Non","25.06.2021","Non","Non","","Bernstrasse 63, 3125 Toffen","Listing ID: 10980211","2023-10-28","Non","1 Hand  / Serviceheft , Servicegepflegt / Eintausch Fahrzeug / ab Platz / - Bremsen Motor Getriebe i.o /  fährt sich gut / Div. Beulen und Kratzer / wenig bis - kein Rost / Div. kleine Mängel - Kokpitt Def.spukt - diverse Schalter nicht mehr lesbar / dazu Div. Belege und Rechnungen der letzten Jahre ( Zahnriemenkitt usw.  /    Winterbereift / ab Platz zum abholen am besten besichtigen, probefahren und gleich mitnehmen.. wegenPlatzmangel !"
"1698787233-3","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1999-occasion-10327888","AUDI A3 1.8 T Attraction","SCHALTER GETRIEBE!!! Lauft und fahrt gut. ABS lampe leuchtet. TERMINE NACH TELEFONISCHER VEREINBARUNG!","CHF 699.–","08.1999","Limousine","235'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","9.1 l/100 km","Non","18.12.2020","Non","Non","","Rischring 2, 6030 Ebikon","Listing ID: 10327888","2023-03-08","Non","SCHALTER GETRIEBE!!!"
"1698787256-4","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10933697","AUDI A3 1.8 Ambition","","CHF 699.–","05.2002","Limousine","295'040 km","Essence","Automatique","125 PS (92 kW)","Traction avant","9 l/100 km","Non","11.02.2021","Non","Non","","MEISENWEG 10, 3292 Busswil b  Büren","Listing ID: 10933697","2023-10-11","Non",""
"1698787279-5","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2000-occasion-10267524","AUDI A3 1.8 T Ambiente","","CHF 800.–","03.2000","Limousine","281'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","9.1 l/100 km","Non","03.08.2017","Non","Non","","Ribistrasse 1a, 8362 Balterswil","Listing ID: 10267524","2023-02-17","Non","Top gepflegte Autos. Super Service."
"1698787601-6","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10945084","AUDI A3 2.0 FSI Attraction","","CHF 900.–","05.2004","Limousine","255'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.4 l/100 km","Non","","Non","Non","","Bruggmatte 11, 6260 Reiden","Listing ID: 10945084","2023-10-15","Non","Motor läuft unrühig.
8-fach bereift"
"1698788141-7","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10639204","AUDI A3 2.0 TDI Ambiente","Pour Export","CHF 1'200.–","04.2005","Limousine","250'000 km","Diesel","Boîte manuelle","140 PS (103 kW)","Traction avant","5.7 l/100 km","Non","","Non","Non","","Route de Morges 1, 1122 Romanel-sur-Morges","Listing ID: 10639204","2023-06-23","Non","Mon choix s'est porté sur une SEAT LEON pour succéder à mon Tiguan repris avec ..."
"1698788267-8","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2002-occasion-10181712","AUDI A3 1.9 TDI-PD Attraction","Auto läuft gut","CHF 1'300.–","01.2002","Limousine","251'500 km","Diesel","Boîte manuelle","130 PS (96 kW)","Traction avant","5.1 l/100 km","Non","13.01.2020","Non","Non","","Bernstrasse 229, 4852 rothrist","Listing ID: 10181712","2023-01-17","Non","Auto läuft .
 !
 



FÜR BESICHTIGUNGEN BITTE 1-2 STUNDEN BEVOR SIE KOMMEN ANRUFEN

-- SUPER EINTAUSCH OFFERTEN
-- ANKAUF VON ALLE FAHRZEUGEN
-- 50 GÜNSTIGE OCCASIONEN AB  1000.-FR AM LAGER 
-- 
-- FÜR FAHRZEUGEN UNTER 10 JAHREN QUALITY ONE GARANTIE MÖGLICH
-- Dank unserer zentraler Lage, 2 kilometer von autobahn ausfahrt OLTEN, ROTHRIST. wir sind von überall her gut und schnell erreichbar. 
Von Basel, Zürich, Luzern, Bern in 30 minuten erreichbar.

Irrtümer und Zwischenverkauf vorbehalten, keine Haftung für Druck und Schreibfehler. Alle Angaben ohne Gewähr"
"1698788290-9","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10983550","AUDI A3 2.0 FSI Ambiente","","CHF 1'300.–","11.2003","Limousine","209'000 km","Essence","Automatique","150 PS (110 kW)","Traction avant","7.4 l/100 km","Non","22.10.2018","Non","Non","","Bodackerstrasse 14, 8953 Dietikon","Listing ID: 10983550","2023-10-30","Non","Ab Platz ohne Garantie und Gewährleistung letzten MFK: 22/10/2018"
"1698788314-10","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1998-occasion-10043266","AUDI A3 1.8 T Attraction","","CHF 1'400.–","09.1998","Limousine","377'165 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.9 l/100 km","Non","10.06.2014","Non","Non","","Luzernerstrasse 172, 5054 Moosleerau","Listing ID: 10043266","2022-11-21","Non","Leistungssteigerung durch Pop-Off Ventil, Frontscheibe hat Riss, ab Platz Verkauf"
