web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date,new-price
1697642535-1,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10808241,VW Golf 1.8 Comfortline 4Motion,FZ in Auftrag zu verkaufen.Standort Chur und/-oder Sedrun.,CHF 350.–,09.2000,Limousine,209'100 km,Essence,Boîte manuelle,125 PS (92 kW),4 roues motrices,9.1 l/100 km,Non,07.10.2019,Non,Non,,"Drun 12, 7188 Sedrun",Listing ID: 10808241,,2023-08-29,Non
1697642548-2,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1998-occasion-10945090,VW Golf 2.3 V5 GTI,Schaltgetriebe -klimaanlag-,CHF 500.–,07.1998,Limousine,241'000 km,Essence,Boîte manuelle,150 PS (110 kW),Traction avant,9.5 l/100 km,Non,,Non,Non,,"Oltenstrasse 26, 4702 Oensingen",Listing ID: 10945090,,2023-10-15,Non
1697642561-3,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-cabriolet-2001-occasion-10410058,VW Golf Cabriolet 2000 Highline,,CHF 600.–,06.2001,Cabriolet,222'299 km,Essence,Boîte manuelle,115 PS (85 kW),Traction avant,8.1 l/100 km,Non,,Non,Non,,"Birchweg 26 - Gewerbestrasse 14, 8200 Schaffhausen - Siblingen",Listing ID: 10410058,,2023-04-04,Non
1697642575-4,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-cabriolet-1999-occasion-10870106,VW Golf Cabriolet 2000 Highline Sunshine,,CHF 600.–,12.1999,Cabriolet,236'000 km,Essence,Boîte manuelle,115 PS (85 kW),Traction avant,8.4 l/100 km,Non,18.03.2020,Non,Non,,"Märkiweg 3, 5502 Hunzenschwil",Listing ID: 10870106,FAHRT SEHR GUT,2023-09-19,Non
1697642588-5,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10471626,VW Golf 1.6,Expertises .012019,CHF 650.–,11.1999,Limousine,289'000 km,Essence,Boîte manuelle,100 PS (74 kW),Traction avant,7.9 l/100 km,Non,,Non,Non,,"Rue  de Corbaroche 42, 1723 Marly",Listing ID: 10471626,,2023-04-26,Non
1697642601-6,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10906099,VW Golf 1.6 Comfortline,***Für Export****,CHF 650.–,05.2000,Limousine,250'000 km,Essence,Boîte manuelle,100 PS (74 kW),Traction avant,7.9 l/100 km,Non,,Non,Non,,"Kirchweg 4, 3038 Kirchlindach",Listing ID: 10906099,,2023-10-02,Non
1697642614-7,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10088198,VW Golf 2.0 Comfortline 4Motion,,CHF 690.–,07.2001,Limousine,262'500 km,Essence,Boîte manuelle,115 PS (85 kW),4 roues motrices,8.9 l/100 km,Non,06.09.2018,Non,Non,,"rue Guillaume-Triponez 48, 2336 Les Bois",Listing ID: 10088198,Personne pas serieuse je vous déconseille d'acheter et de reparer votre véhicule ...,2022-12-08,Non
1697642629-8,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-1998-occasion-10725818,VW Golf 1.4 16V,Für Export oder Teile,CHF 699.–,05.1998,Limousine,242'100 km,Essence,Boîte manuelle,75 PS (55 kW),Traction avant,6.6 l/100 km,Non,,Non,Non,,"Dammweg 23, 5745 Safenwil",Listing ID: 10725818,"Zu verkaufen 

VW Golf 4 1,4l 16V mit Deutschen Papieren

jg. 27.05.1998
Km. 242`100

Für Export oder Teile!
Fahrzeug ist Fahrbar (Motor und Getriebe sind i.O)

Das Auto hat:

- 5-Gang-Schaltgetriebe
- Anti-Blockier-System (ABS)
- Servolenkung
- Schiebe-/Ausstell-Glasdach, elektrisch mit Sonnenschutz/Jalousie
- Airbag für Fahrer und Beifahrer
- Außenspiegel elektrisch einstell-/beheizbar
- Mittelarmlehne vorn
- Fußmatten vorn und hinten 
- Stahlfelgen (Reifen müssen ers. werden)",2023-07-25,Non
1697642642-9,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-break-2000-occasion-9899674,VW Golf Variant 1.6,"Klima, Schalter Getriebe",CHF 700.–,05.2000,Break,286'000 km,Essence,Automatique,100 PS (74 kW),Traction avant,8.8 l/100 km,Non,08.04.2019,Non,Non,,"Ribistrasse 1a, 8362 Balterswil",Listing ID: 9899674,"Klima, Schalter Getriebe",2022-11-14,Non
1697642655-10,https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10862074,VW Golf 2.0 Comfortline,,CHF 700.–,11.2000,Limousine,234'000 km,Essence,Automatique,115 PS (85 kW),Traction avant,9.3 l/100 km,Non,05.08.2019,Non,Non,,"industriestrasse 100, 3178 bösingen",Listing ID: 10862074,,2023-09-16,Non
