web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
"1697999751-1","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2011-occasion-10873040","SKODA Octavia Combi 1.6 TDI Adventure 4x4","Für Teile, nicht fahrbar","CHF 300.–","07.2011","Break","210'000 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","5.4 l/100 km","Non","22.10.2020","Non","Non","","Gassenmatte, 3763 Därstetten","Listing ID: 10873040","2023-09-20","Non","Freundlich, verständnisvoll und flexibel. Gab Klarheit (in gutem Englisch) und ..."
"1697999764-2","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2005-occasion-10660199","SKODA Octavia 1.8 Turbo Drive 4x4","","CHF 500.–","06.2005","Break","261'700 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.8 l/100 km","Non","26.06.2019","Non","Non","","Moosstrasse 46, 3126 Kaufdorf BE","Listing ID: 10660199","2023-06-30","Non","Wagen hat Motorschaden. Für Ersatzteile oder Export. Emissionscode B03. Ab Platz. Fixpreis. Für weitere Fragen bitte telefonieren 031 809 06 16
Emails werden nicht beantwortet."
"1697999777-3","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10918488","SKODA Octavia 1.8 Turbo Elegance","Ab Platz, lauft gut, 8 fach Alu Bereift","CHF 800.–","04.2001","Break","236'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","8 l/100 km","Non","24.12.2019","Non","Non","","Güterstrasse 2 (Bei Schreinerei Brügger), 5014 Gretzenbach","Listing ID: 10918488","2023-10-05","Non","Danke für Ihr Interesse an unseren Fahrzeugen.
Für einen Besichtigungstermin und Probefahrt bitte per Telefon im Voraus vereinbaren."
"1697999790-4","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10750144","SKODA Octavia 1.8 Turbo Elegance 4x4","","CHF 800.–","11.2001","Break","286'000 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.8 l/100 km","Oui","02.12.2022","Non","Non","","Route de la Pisciculture 39, 1700 Fribourg","Listing ID: 10750144","2023-08-07","Non","Sportauspuff anlage mit beiblatt 
Ab MFK 02.12.2022

Motor dreht aber startet nicht"
"1697999803-5","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10937538","SKODA Octavia 1.9 TDI Ambiente 4x4","Fixpreis","CHF 900.–","10.2003","Break","217'000 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.3 l/100 km","Non","16.09.2019","Non","Non","","Untere Bahnhofstrasse 31, 8340 Hinwil ZH","Listing ID: 10937538","2023-10-12","Non","Sehr profesionelle Garage. Reparatur bei meinem Auto war sehr schnell und der ..."
"1697999816-6","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2001-occasion-10771534","SKODA OCTAVIA Combi 4x4 Turbo","","CHF 950.–","10.2001","Break","245'400 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","-","Non","","Non","Non","","Le crêt de la châtagne 1, 2406 La châtagne","Listing ID: 10771534","2023-08-15","Non","disques de frein neuf
roule très bien"
"1697999829-7","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2002-occasion-10339125","SKODA Octavia 1.8 Turbo Elegance","","CHF 990.–","05.2002","Break","227'000 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","8 l/100 km","Non","","Non","Non","","Chli Ebnet 1, 6403 Küssnacht am Rigi","Listing ID: 10339125","2023-03-13","Non",""
"1697999842-8","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2000-occasion-10895226","SKODA Octavia 2.0 Elegance 4x4","","CHF 999.–","09.2000","Break","255'800 km","Essence","Boîte manuelle","115 PS (85 kW)","4 roues motrices","8.9 l/100 km","Non","20.11.2020","Non","Non","","Pfäffikerstrasse 28, 8331 Auslikon","Listing ID: 10895226","2023-09-27","Non","Trotz km gar nicht mal so übel;-)"
"1697999857-9","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10872588","SKODA Octavia 1.9 TDI Ambiente 4x4","Ab Platz für Export, Motor und Getriebe I.O, hat diverse gebrauchsspuren","CHF 1'000.–","06.2003","Break","256'000 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.3 l/100 km","Non","31.05.2021","Non","Non","","Ettiswilerstrasse 1, 6242 Wauwil","Listing ID: 10872588","2023-09-20","Non","Ab Platz für Export, Motor und Getriebe I.O, hat diverse gebrauchsspuren


Ab Platz 
Ist für Händler, Export oder zum selber Aufbereiten 
Das Fahrzeug wird ohne Zustandsrapport verkauft
Wir werden kein Zustandsrapport erstellen
Es können keine Angaben über den Zustand gemacht werden
Keine SMS oder WhatsApp 
Wir Sprechen nur Deutsch
Irrtum und Zwischenverkauf vorbehalten"
"1697999870-10","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2004-occasion-10876012","SKODA Octavia 1.8 Turbo Elegance 4x4","Ab Platz Ohne Garantie Export","CHF 1'100.–","01.2004","Break","300'000 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.8 l/100 km","Non","04.09.2020","Non","Non","","Zürcherstrasse 15, 8620 Wetzikon ZH","Listing ID: 10876012","2023-09-21","Non",""
