web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date
"1697020950-1","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10813406","VOLVO XC60 D5 AWD","","CHF 5'500.–","02.2009","SUV / Tout-terrain","305'907 km","Diesel","Boîte manuelle","185 PS (136 kW)","4 roues motrices","7.5 l/100 km","Non","18.03.2022","Non","Non","","Birchweg 26 - Gewerbestrasse 14, 8200 Schaffhausen - Siblingen","Listing ID: 10813406","","2023-08-30"
"1697020957-2","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10382661","VOLVO XC60 D3 AWD Kinetic","Motor Defekt!!!!!","CHF 5'800.–","08.2010","SUV / Tout-terrain","209'000 km","Diesel","Boîte manuelle","163 PS (120 kW)","4 roues motrices","6.6 l/100 km","Non","","Non","Non","","Längenbold 10, 6037 Root","Listing ID: 10382661","Motor defekt!!!!!! Startet nicht!!! Motor schade!!!!","2023-03-26"
"1697020966-3","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10799614","VOLVO XC60 D5 AWD ** Leder ** Navi ** Klima-auto ** Tempomat ** PDC V&H **","* Voll-Leder, Gr. Navi, Klima-auto, MF-Lenkrad- Tempomat, PDC V&H, Alu ""17, B04 ** Letzte MFK 09.12.2020","CHF 5'900.–","03.2009","SUV / Tout-terrain","299'000 km","Diesel","Boîte manuelle","185 PS (136 kW)","4 roues motrices","7.5 l/100 km","Non","09.12.2020","Non","Non","","Maienstrasse 1, 2540 Grenchen (Kanton Solothurn)","Listing ID: 10799614","* Vielen Dank für Ihr Interesse an unseren 
* Fahrzeugen Wir freuen uns auf Ihren Besuch. 
* Bitte Telefonische Voranmeldung für Besichtigung und Probefahrt. 
* Voll-Leder Ausstattung 
* Grosse Navigationssystem 
* Klimatisierungsautomatik 
* Park Distance Control Vorne + Hinten 
* 08x Airbag * ABS * Servolenkung, 
* Multifunktionslenkrad mit Tempomat 
* Vordersitze heizbar 
* Mittelarmlehne vorne & Hinten 
* Dachrelling 
* Elektrische Fensterheber vorne & Hinten 
* Zentralverriegelung mit Fernbedienung 
* Radio CD Player 
* Alufelgen ""17"" 
* MFK 09.12.2020","2023-08-25"
"1697020973-4","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10845683","VOLVO XC60 D3 AWD Kinetic Geartronic","","CHF 5'900.–","11.2010","SUV / Tout-terrain","465'000 km","Diesel","Automatique","163 PS (120 kW)","4 roues motrices","7 l/100 km","Non","24.02.2021","Non","Non","","Hauptstrasse 92 a, 9430 St.Margrethen","Listing ID: 10845683","Die auto loft gut Z&R und Wasserpumpe ist gemacht","2023-09-11"
"1697020980-5","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2011-occasion-10916580","VOLVO XC60 D3 AWD R-Design Geartronic","","CHF 6'400.–","12.2011","SUV / Tout-terrain","220'378 km","Diesel","Automatique","163 PS (120 kW)","4 roues motrices","6.8 l/100 km","Non","","Non","Non","","Riedackerweg 14, 8107 Buchs ZH","Listing ID: 10916580","Hagelschaden schwer. 
Frontscheibe gerissen 
Heckscheibe gerissen 
Motor und getriebe ist ok","2023-10-05"
"1697020987-6","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10911174","VOLVO XC60 D5 AWD Geartronic","Roule très bien ,clim,services suivis,B04","CHF 6'500.–","09.2009","SUV / Tout-terrain","250'000 km","Diesel","Automatique","205 PS (151 kW)","4 roues motrices","7.5 l/100 km","Non","15.10.2019","Non","Non","","Chemin de Cudrex 15, 1030 Bussigny-près-Lausanne","Listing ID: 10911174","Fahrt zehr gut 
klim","2023-10-03"
"1697020994-7","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10575560","VOLVO XC60 D5 AWD Geartronic","Roule bien, caméra de recul, expertisée 11/2022, B04.","CHF 6'900.–","09.2009","SUV / Tout-terrain","363'000 km","Diesel","Automatique","205 PS (151 kW)","4 roues motrices","7.5 l/100 km","Oui","10.11.2022","Non","Non","","Rue de Plaisance 10, 1227 Carouge","Listing ID: 10575560","Roule bien, 2 clés, expertisée 10/11/2022, qlqs marques de rayures, caméra de recul, cuir, sièges chauffantes et d’autres options, B04.","2023-06-02"
"1697021001-8","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2008-occasion-10906635","VOLVO XC60 D5 AWD Summum Geartronic","","CHF 6'900.–","11.2008","SUV / Tout-terrain","286'000 km","Diesel","Automatique","185 PS (136 kW)","4 roues motrices","8.3 l/100 km","Oui","07.02.2023","Non","Non","","Seestrasse 181, 8266 Steckborn","Listing ID: 10906635","","2023-10-02"
"1697021022-9","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10614801","VOLVO XC60 2.4D Momentum Geartronic","CH-Fahrzueg - 8 Fach bereift - Tempomat - AUX & USB Anschluss - Klimaautomatik - Park Distance Control","CHF 7'400.–","09.2009","SUV / Tout-terrain","195'629 km","Diesel","Automatique","175 PS (129 kW)","Traction avant","6.9 l/100 km","Non","16.06.2020","Non","Non","","Gerenweg 9, 5073 Gipf-Oberfrick","Listing ID: 10614801","Wir heissen Sie jederzeit in unserem Haus herzlich willkommen und freuen uns darauf Sie von unserem Service zu begeistern.

Unser mehrsprachiges Team begrüsst Sie in unseren Räumlichkeiten in Gipf-Oberfrick. Gerne können Sie uns auch bequem per E-Mail oder WhatsApp kontaktieren.

Wir bitten Sie vor einer Fahrzeugbesichtigung sich mit dem Verkaufsteam in Verbindung zu setzen, um ein Beratungstermin zu vereinbaren.

Ob klassische Limousine, geräumiger SUV oder formvollendetes Coupé – eines haben alle unsere Automobilen Fahrzeuge gemeinsam: Sie verkörpern unsere Leidenschaft uns um Ihre Fahrzeuge zu kümmern. Damit Sie sich in Ihrem Wagen, wie im zweiten Zuhause fühlen.

Menschliche Wertschätzung steht in unserem Autohaus im Mittelpunkt. Die Kundenzufriedenheit ist die Basis, unseres Erfolges von Morgen.

UNSERE LEISTUNGEN AUF EINEN BLICK

VERKAUF
• Verkaufsraum
• Langjährige Verkaufserfahrung
• Übersichtliche und moderne Präsentation der Fahrzeuge
• Finanzierungs-und Leasingangebote
• Garantie

WERKSTATT
• Inspektions- und Verschleissreparaturen aller Art
• Checks nach Saison (z.B. Urlaubscheck, Wintercheck etc.)
• Klima- Service
• MFK
• Räder-Reifenwechsel

TEILE UND ZUBEHÖR
• Grosse Auswahl für alle Auto-Marken


Wir freuen uns auf Ihren Besuch.
Ihr FARAG-Team","2023-06-15"
"1697021029-10","https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10869537","VOLVO XC60 D5 AWD Geartronic","","CHF 7'800.–","03.2009","SUV / Tout-terrain","297'000 km","Diesel","Automatique","185 PS (136 kW)","4 roues motrices","8.3 l/100 km","Non","24.01.2022","Non","Non","","kirchfeldstrasse 42, 6032 Emmen  LU","Listing ID: 10869537","","2023-09-19"
