web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
1698860186-1,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10813406,VOLVO XC60 D5 AWD,,CHF 5'500.–,02.2009,SUV / Tout-terrain,305'907 km,Diesel,Boîte manuelle,185 PS (136 kW),4 roues motrices,7.5 l/100 km,Non,18.03.2022,Non,Non,,"Birchweg 26 - Gewerbestrasse 14, 8200 Schaffhausen - Siblingen",Listing ID: 10813406,2023-08-30,Non,
1698860198-2,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10382661,VOLVO XC60 D3 AWD Kinetic,Motor Defekt!!!!!,CHF 5'800.–,08.2010,SUV / Tout-terrain,209'000 km,Diesel,Boîte manuelle,163 PS (120 kW),4 roues motrices,6.6 l/100 km,Non,,Non,Non,,"Längenbold 10, 6037 Root",Listing ID: 10382661,2023-03-26,Non,Motor defekt!!!!!! Startet nicht!!! Motor schade!!!!
1698860211-3,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10944777,VOLVO XC60 D5 AWD Kinetic,,CHF 5'900.–,10.2009,SUV / Tout-terrain,230'000 km,Diesel,Boîte manuelle,224 PS (165 kW),4 roues motrices,6.6 l/100 km,Non,29.09.2020,Non,Non,,"Überlandstrasse 109, 8951 Unterengstringen",Listing ID: 10944777,2023-10-15,Non,Sehr Sauber. Auto hat Dieselpumpe defeckt. Adresse : oberhasli 8156 . Buchenhag strasse 2.
1698860224-4,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10983686,VOLVO XC60 D5 AWD Kinetic,,CHF 6'400.–,07.2009,SUV / Tout-terrain,247'000 km,Diesel,Boîte manuelle,205 PS (151 kW),4 roues motrices,6.9 l/100 km,Non,01.02.2021,Non,Non,,"Riedmattstrasse 5, 8153 Rümlang Kantons Zürich",Listing ID: 10983686,2023-10-30,Non,
1698860238-5,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10911174,VOLVO XC60 D5 AWD Geartronic,"Roule très bien ,clim,services suivis,B04",CHF 6'500.–,09.2009,SUV / Tout-terrain,250'000 km,Diesel,Automatique,205 PS (151 kW),4 roues motrices,7.5 l/100 km,Non,15.10.2019,Non,Non,,"Chemin de Cudrex 15, 1030 Bussigny-près-Lausanne",Listing ID: 10911174,2023-10-03,Non,"Fahrt zehr gut 
klim"
1698860250-6,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10575560,VOLVO XC60 D5 AWD Geartronic,"Roule bien, caméra de recul, expertisée 11/2022, B04.",CHF 6'900.–,09.2009,SUV / Tout-terrain,363'000 km,Diesel,Automatique,205 PS (151 kW),4 roues motrices,7.5 l/100 km,Oui,10.11.2022,Non,Non,,"Rue de Plaisance 10, 1227 Carouge",Listing ID: 10575560,2023-06-02,Non,"Roule bien, 2 clés, expertisée 10/11/2022, qlqs marques de rayures, caméra de recul, cuir, sièges chauffantes et d’autres options, B04."
1698860264-7,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2008-occasion-10906635,VOLVO XC60 D5 AWD Summum Geartronic,,CHF 6'900.–,11.2008,SUV / Tout-terrain,286'000 km,Diesel,Automatique,185 PS (136 kW),4 roues motrices,8.3 l/100 km,Oui,07.02.2023,Non,Non,,"Seestrasse 181, 8266 Steckborn",Listing ID: 10906635,2023-10-02,Non,
1698860280-8,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2009-occasion-10946153,VOLVO XC60 2.4D,,CHF 6'900.–,03.2009,SUV / Tout-terrain,260'267 km,Diesel,Boîte manuelle,175 PS (129 kW),Traction avant,6 l/100 km,Non,09.03.2021,Non,Non,,"La Veyre d'en Haut D8, 1806 Saint-Légier",Listing ID: 10946153,2023-10-16,Non,
1698860292-9,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10986545,VOLVO XC60 2.4D Geartronic,1. Hand Firmenfahrzeug alle Service bei Volvo! Topzustand,CHF 7'499.–,04.2010,SUV / Tout-terrain,209'000 km,Diesel,Automatique,175 PS (129 kW),Traction avant,7.1 l/100 km,Oui,19.04.2023,Non,Non,,"Egnacherweg 11, 8590 Romanshorn",Listing ID: 10986545,2023-10-31,Non,"4 neue Winterreifen inkl. Felgen 

4 Top Sommerreifen inkl. Felgen

Probefahrt: Hr. Ensslin 079 565 96 84"
1698860308-10,https://www.autoscout24.ch/fr/voitures/volvo--xc60?cond=49&make=81&model=559&sort=price_desc&vehtyp=10,,,https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2010-occasion-10945793,VOLVO XC60 D5 AWD R-Design Geartronic,Bitte um Voranmeldung/Am besten anschauen kommen/Auto startet nicht !!! /MFK Frisch 07.2023/R-Design/Rückfahrkamera/Leder/Nav,CHF 7'499.–,09.2010,SUV / Tout-terrain,212'300 km,Diesel,Automatique,205 PS (151 kW),4 roues motrices,7 l/100 km,Oui,12.07.2023,Non,Non,,"Güterstrasse 1, 4654 Lostorf",Listing ID: 10945793,2023-10-16,Non,Bitte um Voranmeldung / Am besten anschauen kommen / Auto startet nicht !!! / MFK Frisch 07.2023 / R-Design / Diesel / Automat / Rückfahrkamera / Leder Sitze / Sitzheizung / Tempomat / Navi / PDC vorne und hinten / Xenon / El. Heckklappe / 2 Schlüssel vorhanden usw...
